kategori,urun_id,barcode,urun_ismi,fiyat
yeni-urunler,ADX-0003789302,6000002280411,STRAPLEZ ASİMETRİK BLUZ B18614,"599,50 TL"
yeni-urunler,ADX-00037986B02,6000002285447,YANDAN BAĞLAMALI GÖMLEK G4760,"649,50 TL"
yeni-urunler,ADX-0003789402,6000002280442,ASİMETRİK KESİM ETEK E18615,"1.299,50 TL"
yeni-urunler,ADX-0003798610,6000002285386,YANDAN BAĞLAMALI GÖMLEK G4760,"649,50 TL"
yeni-urunler,ADX-00037599K78,6000002258151,KAYIK YAKA CROP T-SHİRT P05036,"649,50 TL"
yeni-urunler,ADX-00037860K78,6000002277992,GÖĞÜS PEDLİ ASKILI ATLET A4025,"429,50 TL"
yeni-urunler,ADX-00037828B6,6000002274854,BAGGY JEAN PANTOLON PN883,"1.199,50 TL"
yeni-urunler,ADX-0003780202,6000002270917,AYARLANABİLİR DÜĞÜM DETAYLI ÇANTA Ç1077,"399,50 TL"
yeni-urunler,ADX-00037864B60,6000002278531,DANTELLİ ASKILI ATLET A18609,"649,50 TL"
yeni-urunler,ADX-00037800K78,6000002270795,KALIN ASKILI BODYSUİT Z1072,"329,50 TL"
yeni-urunler,ADX-0003759903,6000002258069,KAYIK YAKA CROP T-SHİRT P05036,"649,50 TL"
yeni-urunler,ADX-0003761703,6000002282408,BOYUNDAN BAĞLAMALI ELBİSE E395,"999,50 TL"
yeni-urunler,ADX-0003759703,6000002257765,BİSİKLET YAKA BASİC T-SHİRT P05040,"449,50 TL"
yeni-urunler,ADX-0003759728,6000002257826,BİSİKLET YAKA BASİC T-SHİRT P05040,"449,50 TL"
yeni-urunler,ADX-0003780003,6000002270726,KALIN ASKILI BODYSUİT Z1072,"329,50 TL"
yeni-urunler,ADX-0003775019,6000002268112,YAZI BASKILI ATLET A9046,"279,50 TL"
yeni-urunler,ADX-0003787319,6000002279200,VATKALI BÜZGÜLÜ BLUZ P261053,"199,50 TL"
yeni-urunler,ADX-0003756903,6000002255631,SİMLİ UZUN ELBİSE E3648,"849,50 TL"
yeni-urunler,ADX-0003786003,6000002277916,GÖĞÜS PEDLİ ASKILI ATLET A4025,"429,50 TL"
yeni-urunler,ADX-0003786403,6000002278470,DANTELLİ ASKILI ATLET A18609,"649,50 TL"
yeni-urunler,ADX-0003787303,6000002279170,VATKALI BÜZGÜLÜ BLUZ P261053,"199,50 TL"
yeni-urunler,ADX-0003764003,6000002261076,ASİMETRİK KESİM ZIMBALI T-SHİRT P0994,"549,50 TL"
yeni-urunler,ADX-0003776303,6000002268877,STRAPLEZ BLUZ B02358,"559,50 TL"
yeni-urunler,ADX-0003770503,6000002266392,YANI BÜZGÜLÜ T-SHİRT P261051,"499,50 TL"
yeni-urunler,ADX-00034401K204,6000002263414,V YAKA BASİC ATLET A13882-X2,"279,50 TL"
yeni-urunler,ADX-0003766103,6000002262790,BELİ LASTİKLİ PANTOLON PN02286,"999,50 TL"
yeni-urunler,ADX-0003727024,6000002274731,BAGGY JEAN PANTOLON PN1029,"1.099,50 TL"
yeni-urunler,ADX-00037876451,6000002279590,ÇİZGİLİ UZUN KOLLU T-SHİRT B10736,"549,50 TL"
yeni-urunler,ADX-0003777402,6000002269171,BELİ LASTİKLİ KETEN ŞORT Ş18588,"899,50 TL"
yeni-urunler,ADX-00037697Z55,6000002264879,BASKILI UZUN KOLLU T-SHİRT P10735,"499,50 TL"
yeni-urunler,ADX-00037883Z55,6000002280046,BASKILI T-SHİRT P10737,"399,50 TL"
yeni-urunler,ADX-0003774911,6000002268037,YANI BÜZGÜLÜ BASKILI T-SHİRT P9043,"319,50 TL"
yeni-urunler,ADX-00037749C18,6000002268082,YANI BÜZGÜLÜ BASKILI T-SHİRT P9043,"319,50 TL"
yeni-urunler,ADX-00037763B02,6000002268884,STRAPLEZ BLUZ B02358,"559,50 TL"
yeni-urunler,ADX-00037898B02,6000002280633,ÇİLEK BASKILI T-SHİRT P9049,"349,50 TL"
yeni-urunler,ADX-0003787302,6000002279163,VATKALI BÜZGÜLÜ BLUZ P261053,"199,50 TL"
yeni-urunler,ADX-00037800B02,6000002270733,KALIN ASKILI BODYSUİT Z1072,"329,50 TL"
yeni-urunler,ADX-0003772902,6000002266965,FERMUARLI EL VE OMUZ ÇANTASI Ç4000,"429,50 TL"
yeni-urunler,ADX-0003777428,6000002269201,BELİ LASTİKLİ KETEN ŞORT Ş18588,"899,50 TL"
yeni-urunler,ADX-0003693202,6000002284747,FERMUARLI ASKILI ÇANTA Ç13,"299,50 TL"
yeni-urunler,ADX-00037694536,6000002264756,BASKILI UZUN KOLLU T-SHİRT P10734,"499,50 TL"
yeni-urunler,ADX-0003749113,6000002273055,KISA KOLLU BASKILI T-SHİRT P9036,"299,50 TL"
yeni-urunler,ADX-00035674A21,6000002270153,TAŞLI BEL ZİNCİRİ ZNCR13-TK1,"179,50 TL"
yeni-urunler,ADX-00035679A21,6000002270146,PAPATYA BEL ZİNCİRİ ZNCR18-TK1,"179,50 TL"
yeni-urunler,ADX-00036029Z86,6000002274250,TAŞLI JEAN PANTOLON PN247,"1.199,50 TL"
yeni-urunler,ADX-00037661B02,6000002264329,BELİ LASTİKLİ PANTOLON PN02286,"999,50 TL"
yeni-urunler,ADX-00037831Z124,6000002275349,WİDE LEG JEAN PANTOLON PN1131,"1.099,50 TL"
yeni-urunler,ADX-0003779703,6000002270375,DANTEL DETAYLI ATLET A02366,"599,50 TL"
yeni-urunler,ADX-00037797B02,6000002270405,DANTEL DETAYLI ATLET A02366,"599,50 TL"
yeni-urunler,ADX-0003768928,6000002264206,AYARLANABİLİR ASKILI BAĞLAMALI ATLET A18532,"849,50 TL"
yeni-urunler,ADX-00037640221,6000002261083,ASİMETRİK KESİM ZIMBALI T-SHİRT P0994,"549,50 TL"
yeni-urunler,ADX-00037952B02,6000002283726,BASKILI UZUN KOLLU T-SHİRT B10763,"649,50 TL"
ust-giyim,ADX-0003796628,6000002284372,KAYIK YAKA BASKILI T-SHİRT P10769,"379,50 TL"
ust-giyim,ADX-00037923B02,6000002281852,KALIN ASKILI BAĞLAMALI BLUZ B261019,"999,50 TL"
ust-giyim,ADX-00038089K78,6000002292414,BONCUK İŞLEMELİ T-SHİRT P10738,"429,50 TL"
ust-giyim,P-0000036865447,6000002219695,KAYIK YAKA BASKILI SWEATSHİRT S10662,"699,50 TL"
ust-giyim,ADX-00037866B46,6000002278654,BOYUNDAN BAĞLAMALI DÜĞMELİ BLUZ A18600,"849,50 TL"
ust-giyim,ADX-00037255B60,6000002233066,KAYIK YAKA CROP SWEATSHİRT S10707,"499,50 TL"
ust-giyim,ADX-00037472Z16,6000002249302,ŞARDONLU FERMUARLI SWEATSHİRT H03024,"1.099,50 TL"
ust-giyim,ADX-00035497Z148,6000002288325,BASİC KALIN T-SHİRT P10493-W7,"399,50 TL"
ust-giyim,ADX-00035709B60,6000002254597,UZUN KOLLU BASİC BLUZ B1845,"399,50 TL"
ust-giyim,ADX-00035709K204,6000002260901,UZUN KOLLU BASİC BLUZ B1845,"399,50 TL"
ust-giyim,ADX-00036978Z148,6000002280350,YANI BÜZGÜLÜ T-SHİRT P1913,"379,50 TL"
ust-giyim,ADX-0003747228,6000002249197,ŞARDONLU FERMUARLI SWEATSHİRT H03024,"1.099,50 TL"
ust-giyim,ADX-00037810Z55,6000002271365,KAPÜŞONLU SWEATSHİRT S10743,"949,50 TL"
ust-giyim,ADX-00037949B02,6000002283665,KISA KOLLU BASKILI T-SHİRT P10761,"349,50 TL"
ust-giyim,ADX-00037951B02,6000002283696,BASKILI UZUN KOLLU T-SHİRT B10762,"599,50 TL"
ust-giyim,ADX-00037719971,6000002279477,YANI FERMUARLI ÇİZGİLİ BLUZ P261129,"499,50 TL"
ust-giyim,ADX-00037723K204,6000002266682,İNCE ASKILI ATLET A1963,"299,50 TL"
ust-giyim,ADX-00037818K78,6000002272560,KAYIK YAKA UZUN KOLLU BASİC T-SHİRT B06046,"649,50 TL"
ust-giyim,ADX-00037818K110,6000002272539,KAYIK YAKA UZUN KOLLU BASİC T-SHİRT B06046,"649,50 TL"
ust-giyim,ADX-00037818B02,6000002272508,KAYIK YAKA UZUN KOLLU BASİC T-SHİRT B06046,"649,50 TL"
ust-giyim,ADX-00037547B02,6000002254023,AJURLU TRİKO KAZAK T10358,"699,50 TL"
ust-giyim,ADX-00037547536,6000002254016,AJURLU TRİKO KAZAK T10358,"699,50 TL"
ust-giyim,ADX-0003754713,6000002254009,AJURLU TRİKO KAZAK T10358,"699,50 TL"
ust-giyim,ADX-00037753C18,6000002268648,BASKILI T-SHİRT P9042,"349,50 TL"
ust-giyim,ADX-00037658168,6000002262370,BİSİKLET YAKA AJURLU TRİKO T02689,"899,50 TL"
ust-giyim,ADX-0003765828,6000002279828,BİSİKLET YAKA AJURLU TRİKO T02689,"899,50 TL"
ust-giyim,ADX-0003772302,6000002266545,İNCE ASKILI ATLET A1963,"299,50 TL"
ust-giyim,ADX-0003772328,6000002266606,İNCE ASKILI ATLET A1963,"299,50 TL"
ust-giyim,ADX-00037723D33,6000002266637,İNCE ASKILI ATLET A1963,"299,50 TL"
ust-giyim,ADX-00037723Z16,6000002266699,İNCE ASKILI ATLET A1963,"299,50 TL"
ust-giyim,ADX-0003777213,6000002273086,UZUN KOLLU DÜĞMELİ MODAL GÖMLEK G8420,"899,50 TL"
ust-giyim,ADX-0003781803,6000002272393,KAYIK YAKA UZUN KOLLU BASİC T-SHİRT B06046,"649,50 TL"
ust-giyim,ADX-00037836B62,6000002275530,KAPÜŞONLU FERMUARLI SWEATSHİRT H13348,"899,50 TL"
ust-giyim,ADX-000379231236,6000002281821,KALIN ASKILI BAĞLAMALI BLUZ B261019,"999,50 TL"
ust-giyim,ADX-00037933B02,6000002282552,KOLSUZ UZUN ELBİSE E19006,"1.699,50 TL"
ust-giyim,ADX-00036736536,6000002235497,BAĞLAMALI UZUN KOLLU BLUZ B1892,"599,50 TL"
ust-giyim,ADX-00037472D33,6000002249272,ŞARDONLU FERMUARLI SWEATSHİRT H03024,"1.099,50 TL"
