,District,Rooms,Price
136,Bergama,3+1,14.000 TL
137,Tire,1+1,12.000 TL
138,Ödemiş,3+1,13.000 TL
139,Buca / İşçievleri,1+1,14.500 TL
140,Bornova / Naldöken,1+1,14.500 TL
141,Narlıdere,1+1,14.000 TL
142,Buca,1+1,14.000 TL
143,Ödemiş,1+1,12.000 TL
144,Menemen / Seyrek,1+1,12.000 TL
145,Menemen / Seyrek,1+1,14.000 TL
146,Bayraklı / Gümüşpala,2+1,11.000 TL
147,Ödemiş,2+1,14.000 TL
148,Kınık,2+1,12.000 TL
149,Karabağlar,3+1,14.000 TL
150,Menemen / Seyrek,1+1,14.000 TL
151,Konak / Eşrefpaşa,2+1,13.000 TL
152,Çiğli / Egekent,2+1,13.000 TL
153,Kiraz,1+1,12.500 TL
154,Karabağlar / Günaltay,3+1,13.000 TL
155,Konak / Kahramanlar,Stüdyo (1+0),14.000 TL
156,Kemalpaşa,2+1,11.000 TL
157,Bayraklı / Alpaslan,3+1,12.000 TL
158,Buca,2+0,14.500 TL
159,Karabağlar / Kibar,2+1,11.000 TL
160,Buca,1+1,12.000 TL
161,Menderes / Görece,2+1,11.000 TL
162,Torbalı,1+1,13.000 TL
163,Menemen / Seyrek,1+1,12.500 TL
164,Menemen / Seyrek,1+1,13.000 TL
165,Karabağlar / Yeşilyurt,3+1,13.000 TL
166,Menemen,1+1,12.500 TL
167,Bayındır,2+1,14.000 TL
168,Bornova / Köyler,2+1,14.500 TL
169,Buca,Stüdyo (1+0),14.000 TL
170,Buca,1+1,14.000 TL
171,Karabağlar,2+1,13.000 TL
172,Buca,1+1,13.000 TL
173,Tire,3+1,13.500 TL
174,Menemen / Seyrek,1+1,14.000 TL
175,Bayraklı / Gümüşpala,1+1,13.500 TL
176,Torbalı,1+1,14.000 TL
177,Torbalı / Ayrancılar,1+1,14.000 TL
178,Karabağlar,2+1,13.000 TL
179,Bayraklı / Gümüşpala,2+1,13.000 TL
180,Bayraklı / Alpaslan,2+1,14.000 TL
181,Menemen / Seyrek,1+1,14.500 TL
182,Konak / Eşrefpaşa,2+1,13.000 TL
183,Menemen / Seyrek,1+1,13.000 TL
184,Konak / Eşrefpaşa,1+1,12.000 TL
185,Buca,2+1,14.000 TL
186,Menemen / Seyrek,1+1,14.250 TL
187,Ödemiş,1+1,12.000 TL
188,Bornova / Naldöken,1+1,14.000 TL
189,Bayraklı / Gümüşpala,3+1,13.000 TL
190,Menemen / Seyrek,1+1,14.500 TL
191,Buca,Stüdyo (1+0),13.000 TL
192,Gaziemir / Sarnıç,1.5+1,13.500 TL
193,Tire,2+1,13.000 TL
194,Buca,1+1,13.000 TL
195,Buca,1+1,12.000 TL
196,Torbalı,3+1,14.000 TL
197,Bornova / Atatürk,2+1,13.000 TL
198,Buca,1+1,14.500 TL
199,Bayraklı,2+1,14.000 TL
200,Bayraklı / Gümüşpala,2+1,11.000 TL
201,Buca,1+1,12.500 TL
202,Bergama,2+1,12.000 TL
203,Bergama,1+1,10.000 TL
204,Menemen / Seyrek,1+1,13.250 TL
205,Menemen / Seyrek,1+1,13.500 TL
206,Konak / Basmane,3+1,11.000 TL
207,Menemen / Seyrek,1+1,14.000 TL
208,Ödemiş,3+1,13.000 TL
209,Buca,Stüdyo (1+0),10.000 TL
210,Menemen / Seyrek,Stüdyo (1+0),13.500 TL
211,Menemen / Seyrek,1+1,14.000 TL
212,Menemen / Seyrek,1+1,14.750 TL
213,Karabağlar / Yeşilyurt,3+1,13.500 TL
214,Buca,1+1,14.750 TL
215,Buca,1+1,12.000 TL
216,Karşıyaka,2+1,14.000 TL
217,Buca / Şirinyer,1+1,13.000 TL
218,Bornova / Naldöken,2+1,11.000 TL
219,Menemen / Seyrek,1+1,14.000 TL
220,Bayraklı / Alpaslan,2+1,12.000 TL
221,Torbalı,3+1,14.250 TL
222,Buca,1+1,12.500 TL
223,Bornova / Atatürk,3+1,12.000 TL
224,Konak / Gürçeşme,1+1,10.000 TL
225,Menemen / Seyrek,1+1,14.950 TL
226,Bornova / Naldöken,1+1,14.000 TL
227,Buca / Şirinyer,2+1,12.000 TL
228,Buca,1+1,12.000 TL
229,Buca,1+1,13.000 TL
230,Buca / Şirinyer,2+0,11.000 TL
231,Menemen / Seyrek,1+1,13.500 TL
232,Menemen / Seyrek,1+1,12.500 TL
233,Karabağlar / Yeşilyurt,2+1,14.000 TL
234,Buca,1+1,14.500 TL
235,Karabağlar / Günaltay,2+1,13.500 TL
236,Buca,1+1,14.000 TL
237,Bayraklı / Soğukkuyu,2+1,14.500 TL
238,Karabağlar / Hatay,Stüdyo (1+0),10.000 TL
239,Menemen / Seyrek,1+1,14.000 TL
240,Buca,Stüdyo (1+0),12.000 TL
241,Karabağlar,2+1,13.000 TL
242,Bornova / Atatürk,2+1,11.000 TL
243,Selçuk,1+1,12.000 TL
244,Bornova / Köyler,1+1,12.500 TL
245,Torbalı / Çaybaşı,2+1,13.000 TL
246,Menemen / Seyrek,1+1,13.000 TL
247,Urla,3+1,10.000 TL
248,Menemen / Seyrek,1+1,13.000 TL
249,Torbalı,3+1,14.500 TL
250,Gaziemir,2+1,13.000 TL
251,Menemen / Seyrek,1+1,14.000 TL
252,Bornova / Naldöken,2+1,13.500 TL
253,Menemen / Seyrek,1+1,14.000 TL
254,Bayraklı / Alpaslan,3+1,14.000 TL
255,Ödemiş,2+1,13.000 TL
256,Menemen / Seyrek,1+1,12.000 TL
257,Karabağlar / Yeşilyurt,3+1,14.500 TL
258,Menemen / Seyrek,1+1,14.500 TL
259,Karşıyaka / Cumhuriyet,1+1,13.000 TL
260,Karabağlar / Yeşilyurt,1+1,13.000 TL
261,Konak / Basmane,1+1,10.000 TL
262,Bergama,2+1,13.000 TL
263,Bornova,Stüdyo (1+0),14.000 TL
264,Urla / Köyler,1+1,12.000 TL
265,Bayraklı / Alpaslan,2+1,11.000 TL
266,Bayraklı,2+1,12.000 TL
267,Menemen / Seyrek,1+1,13.500 TL
268,Karabağlar / Kibar,2+1,14.500 TL
269,Bornova / Altındağ,2+1,10.000 TL
270,Bayraklı / Alpaslan,3+1,14.000 TL
271,Ödemiş,1+1,13.000 TL
272,Bayraklı / Alpaslan,2+1,14.000 TL
273,Buca / İşçievleri,2+1,14.000 TL
274,Ödemiş,2+1,12.500 TL
275,Menemen / Seyrek,1+1,14.000 TL
276,Çiğli / Büyükçiğli,1+1,13.000 TL
277,Karabağlar / Yeşilyurt,2+1,12.500 TL
278,Gaziemir,3+1,14.000 TL
279,Konak / Gültepe,Stüdyo (1+0),11.500 TL
280,Buca,1+1,14.500 TL
281,Menemen / Seyrek,1+1,13.500 TL
282,Konak / Gürçeşme,1+1,10.000 TL
283,Buca,Stüdyo (1+0),13.000 TL
284,Ödemiş,1+1,13.000 TL
285,Karabağlar,1+1,12.000 TL
286,Buca,1+1,13.000 TL
287,Bergama,3+1,13.000 TL
288,Torbalı / Ayrancılar,1+1,10.000 TL
289,Buca,1+1,14.500 TL
290,Bornova / Işıkkent,2+1,14.000 TL
291,Torbalı,2+0,14.000 TL
292,Dikili / Köyler,4+1,10.000 TL
293,Buca,1+1,14.500 TL
294,Buca,1+1,14.500 TL
295,Torbalı / Ayrancılar,1+1,13.000 TL
296,Menemen / Seyrek,1+1,14.000 TL
297,Menemen / Seyrek,1+1,12.500 TL
298,Menemen / Seyrek,1+1,14.500 TL
299,Menemen / Seyrek,1+1,13.000 TL
300,Ödemiş,2+1,13.000 TL
301,Bornova / Naldöken,2+1,12.000 TL
302,Menemen / Koyundere,1+1,14.000 TL
303,Buca,2+0,14.000 TL
304,Buca / Şirinyer,2+1,12.000 TL
305,Buca,1+1,14.999 TL
306,Bayraklı / Gümüşpala,2+1,14.000 TL
307,Karabağlar / Günaltay,2+1,14.000 TL
308,Buca / Şirinyer,2+1,13.000 TL
309,Menemen / Seyrek,1+1,14.250 TL
310,Buca / Şirinyer,3+1,13.000 TL
311,Bornova / Naldöken,1+1,14.000 TL
312,Menemen / Asarlık,2+1,10.500 TL
313,Menemen / Seyrek,1+1,14.000 TL
314,Karabağlar / Fahrettinaltay,2+1,10.000 TL
315,Buca / Şirinyer,3+1,13.000 TL
316,Buca,Stüdyo (1+0),10.000 TL
317,Tire,2+1,13.000 TL
318,Menemen / Seyrek,1+1,14.500 TL
319,Menemen / Seyrek,1+1,13.000 TL
320,Buca / Şirinyer,2+1,14.000 TL
321,Buca,2+1,13.000 TL
322,Menemen / Seyrek,1+1,14.000 TL
323,Menemen / Seyrek,1+1,12.500 TL
324,Karabağlar / Günaltay,2+1,12.000 TL
325,Karabağlar,2+1,13.000 TL
326,Menemen / Seyrek,1+1,14.000 TL
327,Menemen / Seyrek,1+1,13.000 TL
328,Bayraklı,3+1,14.000 TL
329,Buca,1+1,14.500 TL
330,Karabağlar / Günaltay,2+1,13.000 TL
331,Çiğli / Balatçık,Stüdyo (1+0),14.000 TL
332,Konak / Kahramanlar,Stüdyo (1+0),14.000 TL
333,Buca,1+1,14.500 TL
334,Bornova / Kazımdirik,3+1,13.000 TL
335,Menemen / Seyrek,1+1,13.000 TL
336,Konak,Stüdyo (1+0),12.000 TL
337,Konak / Gürçeşme,1+1,11.000 TL
338,Urla / Köyler,1+1,14.000 TL
339,Bornova,Stüdyo (1+0),12.000 TL
340,Buca,3+1,10.000 TL
341,Bornova / Naldöken,2+1,10.000 TL
342,Tire,2+1,14.000 TL
343,Menemen / Seyrek,1+1,13.500 TL
344,Çiğli / Büyükçiğli,2+1,14.000 TL
345,Konak / Eşrefpaşa,1+1,13.000 TL
346,Bayraklı / Alpaslan,2+1,13.000 TL
347,Bayraklı / Alpaslan,3+1,12.500 TL
348,Bornova / Naldöken,2+1,14.000 TL
349,Bayraklı / Alpaslan,2+1,12.000 TL
350,Buca,1+1,11.500 TL
351,Karşıyaka / Alaybey,3+1,14.500 TL
352,Menemen / Seyrek,1+1,13.000 TL
353,Konak / Gürçeşme,2+1,13.000 TL
354,Konak / Yenişehir,1+1,14.000 TL
355,Karabağlar / Kibar,1+1,10.000 TL
356,Menemen / Seyrek,1+1,14.000 TL
357,Bornova / Çamdibi,2+1,13.500 TL
358,Karabağlar / Kibar,2+1,10.000 TL
359,Bayraklı / Alpaslan,2+1,13.000 TL
360,Buca,Stüdyo (1+0),12.500 TL
361,Bayraklı / Gümüşpala,3+1,13.000 TL
362,Menemen / Seyrek,1+1,12.000 TL
363,Menemen / Seyrek,1+1,14.000 TL
364,Menemen / Seyrek,1+1,13.750 TL
365,Buca,2+1,14.500 TL
366,Ödemiş,2+1,13.000 TL
367,Bornova / Naldöken,3+1,14.000 TL
368,Ödemiş,2+1,13.500 TL
369,Bornova / Köyler,1+1,13.000 TL
370,Menemen / Seyrek,1+1,14.500 TL
371,Menemen / Seyrek,1+1,13.000 TL
372,Buca / Şirinyer,2+1,14.000 TL
373,Bornova / Naldöken,3+1,10.000 TL
374,Buca,1+1,14.000 TL
375,Kiraz,1+1,10.000 TL
376,Bayraklı / Gümüşpala,2+1,12.000 TL
377,Buca,2+1,14.500 TL
378,Buca,Stüdyo (1+0),14.000 TL
379,Konak / Gültepe,2+1,11.000 TL
380,Karabağlar,2.5+1,13.000 TL
381,Menemen,2+1,12.500 TL
382,Menemen / Seyrek,1+1,14.000 TL
383,Menemen / Seyrek,1+1,12.500 TL
384,Ödemiş,2+1,12.000 TL
385,Buca,Stüdyo (1+0),11.500 TL
386,Menemen / Seyrek,1+1,14.000 TL
387,Ödemiş,2+1,14.000 TL
388,Buca,1+1,14.500 TL
389,Konak / Gültepe,2+1,11.000 TL
390,Bayraklı / Alpaslan,2+1,12.000 TL
391,Gaziemir,2+0,14.000 TL
392,Tire,2+1,10.000 TL
393,Buca / Şirinyer,1+1,14.000 TL
394,Torbalı / Ayrancılar,1+1,14.500 TL
395,Buca / İşçievleri,2+1,12.000 TL
396,Bayraklı / Alpaslan,2+1,10.000 TL
397,Konak / Gürçeşme,2+1,12.000 TL
398,Bornova / Naldöken,2+0,12.000 TL
399,Menemen / Seyrek,1+1,14.500 TL
400,Buca / Şirinyer,Stüdyo (1+0),10.000 TL
401,Menemen / Seyrek,1+1,12.750 TL
402,Bayraklı / Alpaslan,2+1,14.000 TL
403,Buca / Şirinyer,2+1,13.000 TL
404,Torbalı,2+1,14.000 TL
405,Menemen / Koyundere,1+1,14.000 TL
406,Bayraklı / Alpaslan,2+1,14.000 TL
407,Bornova / Köyler,1+1,10.000 TL
408,Kiraz,2+1,13.000 TL
409,Ödemiş,3+1,13.000 TL
410,Karabağlar,2+1,12.500 TL
411,Menemen / Seyrek,1+1,14.000 TL
412,Kiraz,3+1,12.500 TL
413,Çeşme / Alaçatı,4+1,10.000 TL
414,Menemen / Asarlık,2+1,13.000 TL
415,Bayraklı,2+1,12.500 TL
416,Karabağlar / Günaltay,2+1,11.000 TL
417,Bornova / Altındağ,2+1,14.000 TL
418,Buca,2+1,14.000 TL
419,Karabağlar / Günaltay,1+1,10.000 TL
420,Ödemiş,2+1,11.500 TL
421,Bornova / Kazımdirik,3+1,11.000 TL
422,Bornova / Çamdibi,2+1,10.000 TL
423,Selçuk,1+1,12.000 TL
424,Buca,Stüdyo (1+0),13.000 TL
425,Konak / Eşrefpaşa,1+1,10.000 TL
426,Bornova / Çamdibi,1+1,12.000 TL
427,Balçova,3+1,10.000 TL
428,Karabağlar,2+1,10.000 TL
429,Bornova / Çamdibi,1+1,12.000 TL
430,Bayraklı / Gümüşpala,3+1,14.000 TL
431,Menemen / Seyrek,1+1,13.000 TL
432,Menemen / Seyrek,1+1,14.500 TL
433,Aliağa,2+1,10.000 TL
434,Menemen / Seyrek,1+1,14.000 TL
435,Bornova / Kazımdirik,1+1,13.000 TL
436,Konak / Gürçeşme,1+1,12.500 TL
437,Bayraklı / Gümüşpala,2+1,10.000 TL
438,Bornova / Naldöken,3+1,10.000 TL
439,Karabağlar,1+1,13.000 TL
440,Kiraz,2.5+1,14.000 TL
441,Menemen / Seyrek,1+1,13.000 TL
442,Karabağlar / Günaltay,2+1,12.000 TL
443,Menemen / Seyrek,1+1,13.500 TL
444,Menemen / Seyrek,1+1,13.500 TL
445,Bornova / Pınarbaşı,1+1,13.000 TL
446,Buca,2+1,13.000 TL
447,Torbalı / Ayrancılar,1+1,14.500 TL
448,Çeşme / Köyler,Stüdyo (1+0),12.500 TL
449,Torbalı,1+1,13.000 TL
450,Bornova / Köyler,2+1,10.000 TL
451,Karabağlar / Fahrettinaltay,2+1,14.500 TL
452,Karabağlar,2+1,14.000 TL
453,Ödemiş,3+1,12.750 TL
454,Buca / İşçievleri,Stüdyo (1+0),14.000 TL
455,Dikili / Köyler,5+1,10.000 TL
456,Menemen / Seyrek,1+1,14.000 TL
457,Dikili / Köyler,5+2,10.000 TL
458,Karabağlar / Kibar,3+1,12.500 TL
459,Gaziemir,1+1,12.000 TL
460,Bayraklı / Gümüşpala,2+1,12.500 TL
461,Buca,1+1,13.000 TL
462,Buca,1+1,14.000 TL
463,Buca,1+1,14.500 TL
464,Ödemiş,2+1,14.000 TL
465,Buca,1+1,14.999 TL
466,Buca,1+1,14.000 TL
467,Buca,2+1,14.000 TL
468,Menemen / Seyrek,1+1,14.000 TL
469,Torbalı,4+1,14.000 TL
470,Menemen / Seyrek,1+1,14.500 TL
471,Menemen / Seyrek,1+1,13.500 TL
472,Bergama,1+1,12.000 TL
473,Karabağlar,1+1,10.000 TL
474,Menemen / Seyrek,1+1,13.000 TL
475,Bayraklı / Alpaslan,1+1,10.000 TL
476,Karabağlar / Kibar,1+1,14.000 TL
477,Bornova / Atatürk,2+1,14.000 TL
478,Karabağlar / Günaltay,1+1,11.000 TL
479,Bayraklı / Gümüşpala,2+1,14.000 TL
480,Karabağlar / Kibar,2+1,13.000 TL
481,Buca,1+1,14.500 TL
482,Bayraklı / Alpaslan,4+1,12.500 TL
483,Bergama,2+1,14.500 TL
484,Torbalı / Yazıbaşı,1+1,14.000 TL
485,Menemen / Seyrek,1+1,13.000 TL
486,Bayraklı / Alpaslan,1+1,14.000 TL
487,Bayraklı / Alpaslan,2+1,13.000 TL
488,Buca,1+1,14.500 TL
489,Buca,2+1,13.000 TL
490,Buca,Stüdyo (1+0),13.500 TL
491,Buca,1+1,13.000 TL
492,Buca,1+1,14.000 TL
493,Buca,1+1,14.000 TL
494,Buca,1+1,14.000 TL
495,Buca,1+1,13.000 TL
496,Menemen / Seyrek,1+1,14.000 TL
497,Menemen / Seyrek,1+1,14.000 TL
498,Buca,Stüdyo (1+0),13.000 TL
499,Menemen / Seyrek,1+1,13.500 TL
500,Buca,1+1,14.000 TL
501,Buca,1+1,13.500 TL
502,Menemen / Seyrek,1+1,14.000 TL
503,Buca,1+1,13.000 TL
504,Buca / İşçievleri,2+1,11.000 TL
505,Konak / Eşrefpaşa,2+0,10.000 TL
506,Bornova / Kazımdirik,4+1,12.000 TL
507,Buca / Şirinyer,Stüdyo (1+0),11.000 TL
508,Bayraklı,3+0,14.000 TL
509,Buca,1+1,14.000 TL
510,Menemen / Seyrek,1+1,16.000 TL
511,Buca,1+1,16.000 TL
512,Menemen / Seyrek,1+1,15.000 TL
513,Bergama,3+1,15.000 TL
514,Bayraklı / Soğukkuyu,2+1,15.000 TL
515,Menemen / Seyrek,1+1,15.500 TL
516,Kınık,3+1,16.000 TL
517,Karabağlar / Yeşilyurt,2+1,15.000 TL
518,Ödemiş,2+1,15.000 TL
519,Kiraz,4+1,15.000 TL
520,Buca / Şirinyer,2+1,16.000 TL
521,Menemen / Seyrek,1+1,15.000 TL
522,Tire / Köyler,2+1,15.000 TL
523,Buca,1+1,16.000 TL
524,Bayraklı / Gümüşpala,1+1,15.500 TL
525,Buca,2+1,15.000 TL
526,Bayraklı / Manavkuyu,2+1,16.000 TL
527,Torbalı / Çaybaşı,2+1,16.000 TL
528,Menemen,2+1,15.000 TL
529,Menemen / Seyrek,1+1,15.000 TL
530,Ödemiş,2+1,16.000 TL
531,Menemen / Seyrek,1+1,15.000 TL
532,Menemen / Seyrek,1+1,15.000 TL
533,Menemen / Asarlık,1+1,15.000 TL
534,Torbalı / Ayrancılar,2+1,16.000 TL
535,Buca,2+1,16.000 TL
536,Buca,1+1,15.500 TL
537,Bayraklı / Alpaslan,1+1,15.500 TL
538,Buca,1+1,15.500 TL
539,Karabağlar,1+1,15.000 TL
540,Menemen,1+1,16.000 TL
541,Buca,1+1,16.000 TL
542,Menemen / Seyrek,1+1,15.500 TL
543,Buca,1+1,15.000 TL
544,Buca,1+1,16.000 TL
545,Bayraklı / Gümüşpala,2+1,16.000 TL
546,Bergama,3+1,16.000 TL
547,Çiğli / Balatçık,2+0,15.500 TL
548,Buca / İşçievleri,2+1,15.000 TL
549,Bayraklı / Alpaslan,3+1,15.000 TL
550,Menemen / Seyrek,1+1,15.000 TL
551,Çiğli / Büyükçiğli,2+1,15.000 TL
552,Buca,1+1,15.000 TL
553,Torbalı,2+1,16.000 TL
554,Menemen / Seyrek,1+1,15.000 TL
555,Torbalı / Ayrancılar,1+1,15.000 TL
556,Buca,2+1,16.000 TL
557,Bayraklı / Soğukkuyu,2+1,16.000 TL
558,Çeşme / Alaçatı,1+1,15.000 TL
559,Karabağlar,2+1,15.000 TL
560,Torbalı / Ayrancılar,1+1,16.000 TL
561,Buca,1+1,16.000 TL
562,Ödemiş,2+1,16.000 TL
563,Torbalı / Ayrancılar,2+1,15.000 TL
564,Buca,1+1,15.000 TL
565,Ödemiş,3+1,15.000 TL
566,Ödemiş / Birgi,2+1,15.000 TL
567,Tire,2+1,15.000 TL
568,Buca / Şirinyer,2+1,16.000 TL
569,Bornova / Çamdibi,2+1,16.000 TL
570,Buca / Şirinyer,2+1,15.000 TL
571,Menemen / Seyrek,1+1,15.000 TL
572,Menemen / Seyrek,1+1,15.000 TL
573,Çiğli / Egekent,2+1,16.000 TL
574,Bornova / Naldöken,2+1,16.000 TL
575,Ödemiş,2+1,16.000 TL
576,Torbalı / Ayrancılar,2+1,16.000 TL
577,Menemen / Seyrek,1+1,15.000 TL
578,Bergama,3+1,15.000 TL
579,Buca,1+1,16.000 TL
580,Seferihisar,1+1,15.500 TL
581,Konak / Gürçeşme,3+1,15.000 TL
582,Menemen / Koyundere,2+1,15.000 TL
583,Bayraklı / Gümüşpala,3+1,15.500 TL
584,Menemen / Seyrek,1+1,16.000 TL
585,Buca,1+1,15.000 TL
586,Karabağlar / Yeşilyurt,3+1,15.000 TL
587,Buca,1+1,15.000 TL
588,Menemen / Koyundere,1+1,16.000 TL
589,Torbalı,2+1,15.000 TL
590,Menemen / Seyrek,1+1,16.000 TL
591,Bornova / Köyler,2+1,15.000 TL
592,Kemalpaşa / Armutlu,2+1,16.000 TL
593,Karabağlar / Günaltay,3+1,16.000 TL
594,Karabağlar,2+1,16.000 TL
595,Menemen / Seyrek,1+1,15.000 TL
596,Bayraklı / Alpaslan,2+1,16.000 TL
597,Bornova / Çamdibi,2+1,15.000 TL
598,Buca,1+1,16.000 TL
599,Menemen / Seyrek,1+1,15.000 TL
600,Bergama,3+1,16.000 TL
601,Menemen / Seyrek,1+1,15.000 TL
602,Kınık,2+1,15.000 TL
603,Bergama,1+1,16.000 TL
604,Menemen / Seyrek,1+1,15.000 TL
605,Bornova / Altındağ,2+1,15.000 TL
606,Buca,1+1,15.500 TL
607,Buca,1+1,15.000 TL
608,Ödemiş,2+1,16.000 TL
609,Menemen / Seyrek,1+1,16.000 TL
